Gene	Antibody Count
ARHGAP28	0
CRLS1	0
DEFB127	0
PPP1R13B	4
ATRN	3255
SMOX	40
SIGLEC1	113
FKBP1A	20
NSFL1C	0
SLC4A11	1
C20orf194	0
ZNF343	0
EBF4	1
CPXM1	0
MAVS	7
LZTS3	1
F11	53
XRN2	1
KIZ	1
DYNLL1	22
TESC	0
SNX5	3
RPL6	1
SIRPG	14
MAPKAPK5	25
P2RX7	0
ESF1	0
RBBP9	22
ANAPC5	3
SLC23A2	0
SLC8B1	1
TMEM230	1
DZANK1	0
KDM2B	7
CFAP61	0
LHX5	25
TASP1	4
OAS1	9
GCN1	0
RPLP0	2
PXN	91
SIRT4	3
RPH3A	0
KIF16B	1
TRMT6	0
CHGB	148
PEBP1	34
TBX5	12
BRAP	2
ERP29	4
NOS1	7278
FUS	9
IGBP1	19
FXYD5	0
ZNF302	0
GRAMD1A	0
FXYD3	8
HEPH	8
CDIP1	0
CMTM1	0
KCNH4	31
GANAB	2
GMIP	0
RBM41	1
BIRC5	57
LAG3	20
MLF2	17
OTUB2	11
DDX24	1
ZBTB25	8
NECAP1	1
ARHGAP4	19
ANKRD24	0
DHX32	1
RCOR1	3
GPATCH2L	0
LTBP4	1
BLVRB	11
SLC9A1	14
SPTLC1	5
PAPOLA	105
CCNK	10
PCBP4	0
RGS1	0
YPEL3	1
MRPS33	0
NDUFB2	1
NUDC	11
MAEA	8
ICAM1	291
STRN4	4
IRAK3	25
LYZ	15
SI	997
MUL1	1
TFAP4	26
PDCD7	10
SPG21	14
FETUB	6
DNAJB11	0
P3H2	0
THPO	2967
CHRD	0
FLT3LG	8
RAB11FIP3	0
GNPTG	0
ZNF268	1
GOLGA3	0
PABPC4	1
CD209	56
CERS4	1
MCOLN1	1
USP48	18
EFNB1	0
PDPR	0
AARS	6
GLG1	0
KIF4A	1
TNRC6A	5
PLEKHG2	1
DLL3	2
NAT14	2
PITPNM2	0
EXOC1	0
RBM27	0
POU4F3	16
OSBPL8	3
DTX2	2
NLRC4	0
PUS7	5
LAMB4	0
NRCAM	8
LAMB1	24
SLC26A4	9
SLC26A3	7
DLD	33
WDR7	0
TXNL1	10
IL5RA	0
ABCC6	38
CMTM6	1
ITGA6	113
RAPGEF4	9
MAP3K20	0
SMPX	0
FH	22
SEL1L3	1
TF	74
CDV3	1
MYO15A	0
ALKBH5	0
APOH	40
NLRP1	8
PITPNM3	0
SPAG7	1
ORC6	16
ZFHX4	7
SLC17A6	3
CPA1	16
ZC3HC1	1
ESR1	460
RGS17	1
ANGPT2	9
TMEM101	0
CD200	61
CCDC80	0
CMA1	74
PSME1	4
PPP2R3C	0
HAUS4	0
JPH4	0
MYH7	1
CEBPE	11
SLC7A8	36
OSGEP	5
SLC22A17	0
RNF31	0
SCFD1	9
G2E3	0
HECTD1	9
HNRNPC	15
RPGRIP1	0
SUPT16H	35
TOX4	0
GEMIN2	16
TGM1	4
TINF2	8
DAZL	1
TBL1Y	0
SEMA6A	3
TRPM7	1
TYRO3	37
WDR76	0
CAPN3	3
SNAP23	11
TBX15	0
PHGDH	53
COL9A3	2
EZR	76
MYL6	19
AGO1	2
TEKT2	4
CLSPN	1
RFFL	6
UNC13D	8
MFSD11	34
DPYSL2	20
TGFB2	1
GPATCH2	0
NUP50	3
CDC45	21
COMT	13
ADA2	2
VNN3	2
ECHDC1	0
LRRFIP2	2
SEC22C	0
XYLB	1
HDAC6	20
OR1I1	0
GABRP	0
KRT31	2
CDC6	58
UPRT	9
CDC23	3
AAAS	11
CBX5	21
FMO2	1
SUCO	0
MSH2	64
MAP3K1	9
DHPS	1
HOOK2	8
NXPE1	1
ARCN1	2
EPB41L4B	1
TMEM38B	0
PSMD5	11
PTGS1	50
NUP188	0
CRAT	175922
SH2D3C	51
NANS	9
TBC1D2	0
WHRN	7
PDE6C	1
CWF19L1	1
SEMA4G	1
BTAF1	9
IKZF5	1
BLNK	19
TLL2	0
CYP26A1	3
TDRD1	0
SORBS1	44
CRTAC1	6
BAMBI	12
IL11	32
MYO3A	23
WAC	1
CREM	6
NUBP2	31
TPSD1	1
SMIM24	0
HIVEP1	4
TREM2	5
KCNK16	0
CRISP3	6
FKBP5	21
SRPK1	36
BRPF3	0
MRPS18A	1
PGC	0
TMEM14A	0
EFHC1	1
NCR2	26
HSP90AB1	27
MLN	0
CDC5L	12
ITPR3	0
ZNF184	0
DSP	84
SIRT1	42
HNRNPH3	1
IFT74	0
JAK2	15
IL12RB1	7
ABL1	74
ACOT7	4
SH3GLB1	20
CDC7	35
SYDE2	0
PCSK5	3
SCD	11
TMED1	3
ABLIM1	8
ERMP1	1
RAB18	9
NRP1	22
PRTFDC1	1
PALMD	0
TSPAN15	0
H2AFY2	10
WASHC2A	0
MAST3	0
MZF1	3
OCEL1	0
MYO9B	4
KCNK6	0
CATSPERG	0
PSMD8	2
FBXL19	1
STX1B	4
HSD3B7	0
SETD1A	2
BCL7C	7
MAGEB2	0
EFNA2	28
CIRBP	3
ATP5F1D	0
CBARP	0
PCDH11Y	8
AMELY	0
IGFALS	114
HNRNPM	24
MARCH2	0
NDUFB7	9
TECR	5
TIMM13	2
CDC34	30
MTAP	12
MISP	0
CEP170B	0
POLR2E	6
POLRMT	1
HCN2	0
CDHR5	0
IZUMO4	0
RASSF7	0
GADD45B	0
PALM	8
MADCAM1	75
MKNK2	12
ARVCF	10
TRMT2A	18
RANBP1	2
ZDHHC8	8
KLHL22	1
MED15	16
SERPIND1	11
SNAP29	15
CRKL	27
LZTR1	1
MMP11	41
CECR2	0
SMARCB1	26
P2RX6	0
DERL3	0
SLC7A4	0
BCL2L13	15
DDTL	0
DDT	18
OSM	20
CABIN1	6
TBC1D10A	0
SUSD2	1
SF3A1	7
GGT5	2
RNF215	0
SEC14L2	17
SEC14L3	3
SPECC1L	0
PPIL2	6
UPB1	4
YPEL1	0
SNRPD3	1
PES1	1
MAPK1	142
GGT1	21
PRODH	1
PPM1F	9
SLC35E4	0
TOP3B	24
CRYBB3	3
CYTH4	0
ESS2	0
MFNG	6
CARD10	0
LRP5L	0
SLC25A1	3
GRK3	1
PLA2G3	0
LGALS2	1
GGA1	12
HIRA	7
SH3BP1	0
SEZ6L	0
LGALS1	28
HPS4	46
PIK3IP1	2
SRRD	0
PATZ1	1
TRIOBP	5
TFIP11	1
GCAT	1
GGTLC2	0
CRYBB1	12
ANKRD54	0
EIF3L	1
SNU13	0
MICALL1	0
POLR2F	7
SOX10	21
CCDC134	0
DEPDC5	1
PICK1	9
TTC28	0
SLC16A8	1
CENPM	9
SEPT3	10
SLC5A1	0
SLC5A4	0
KDELR3	0
CYP2D6	9
DDX17	5
DMC1	24
TCF20	0
HSCB	5
CBY1	9
TOMM22	18
RSPH14	0
XBP1	29
RTCB	1
JOSD1	2
FBXO7	5
GTPBP1	7
POLDIP3	0
RAB36	8
TIMP3	90
PPP6R2	1
SBF1	15
SUN2	2
CYB5R3	8
DNAL4	0
C22orf31	0
MIOX	12
LMF2	0
RHBDD3	0
PACSIN2	2
TTLL1	1
RASL10A	1
AP1B1	1
HMGXB4	17
TOM1	15
NEFH	95
CHKB	50
BIK	11
HMOX1	40
MCAT	61
THOC5	0
MCM5	51
APOBEC3H	0
ARSA	12
TSPO	12
RASD2	9
TTLL12	12
CBX7	1
PDGFB	5
ACR	1
CABP7	0
RPL3	1
ZMAT5	0
RBFOX2	1
SYNGR1	3
TAB1	30
ASCC2	6
MTMR3	2
MIEF1	1
APOL4	0
PNPLA5	0
APOL1	7
PNPLA3	1
MYH9	26
CACNA1I	7
SAMM50	11
TXN2	18
FOXRED2	0
GRAP2	91
EIF3D	3
TNRC6B	3
SGSM3	95
IFT27	1
PVALB	2
KIAA0930	0
NCF4	17
CSF2RB	23
SLC25A17	2
UPK3A	8
FAM118A	0
KCTD17	0
ST13	32
IL2RB	51
RBX1	3
EP300	72
L3MBTL2	7
CHADL	0
RANGAP1	6
ZC3H7B	0
PHF5A	10
ACO2	20
POLR3H	1
TRMU	4
PMM1	0
DESI1	1
CERK	0
BRD1	8
ZBED4	0
MLC1	17
HDAC10	16
KCNK10	6
ABHD4	0
KHNYN	1
FKBP3	9
SDR39U1	0
CTSG	90
GZMH	3
GZMB	141
RBM23	0
PRMT5	16
COCH	0
AP4S1	0
POLE2	7
VCPKMT	0
SOS2	2
CDKL1	29
NIN	3
PYGL	1
TRIM9	16
PSMC6	9
GNPNAT1	1
DDHD1	1
CDKN3	13
CNIH1	0
CGRRF1	7
ATP6V1D	8
CCDC198	0
PLEK2	2
PIGH	1
LRRC74A	0
PSMA3	4
VTI1B	3
TIMM9	9
GSTZ1	8
KIAA0586	1
TMED8	0
SAMD15	0
AHSA1	89
DAAM1	12
ISM2	1
SPTLC2	0
RIN3	0
LGMN	20
ALKBH1	10
SNW1	3
CHGA	144
ITPK1	9
DHRS7	2
PPM1A	17
SIX4	17
GALNT16	0
ASB2	2
CEP128	0
ERH	23
HIF1A	57
SUSD6	0
SRSF5	1
SLC10A1	0
EIF5	15
SERPINA4	5
SLC8A3	2
DICER1	20
ZFYVE21	3
MTHFD1	1
TCL1A	33
ZC3H14	0
TELO2	2
PCNX1	0
BDKRB1	1
GSKIP	1
VRK1	16
PSMC1	1
PAPLN	0
RPS6KA5	19
PPP4R3A	0
C14orf93	0
PSMB5	313
YY1	35
ACIN1	7
CCNB1IP1	4
TRIP11	15
APEX1	4573
PABPN1	10
EFS	3
ARHGAP5	7
CINP	2
DHRS2	53
SRP54	5
CPNE6	8
CHD8	10
PCK2	9
KIAA0391	0
DCAF11	1
PSMA6	14
NFKBIA	68
EMC9	1
PSME2	14
BRMS1L	0
REC8	1
TM9SF1	0
SEC23A	2
GMPR2	0
PNN	11
RABGGTA	1
NFATC4	2
PLTP	14
PCIF1	1
GSS	21
MMP9	157
VSX1	0
TRPC4AP	8
PYGB	55
ABHD12	2
PROCR	50
GINS1	1
NINL	0
CD40	207
UQCC1	1
ZMYND8	11
SGK2	35
IFT52	1
MYBL2	26
R3HDML	1
HNF4A	60
NDRG3	1
SLA2	43
C20orf24	0
NFATC2	19
RIMS4	0
PABPC1L	0
STK4	45
SALL4	13
ADNP	11
PFDN4	0
DOK5	1
CSTF1	3
BMP7	59
RAE1	0
TPD52L2	1
DNAJC5	6
NELFCD	0
CTSZ	6
PRPF6	0
TUBB1	8
PRELID3B	0
HRH3	8
MTG2	0
PSMA7	17
SLCO4A1	0
NTSR1	4
MRGBP	0
TCFL5	7
DIDO1	9
GID8	0
SLC17A9	0
BIRC7	17
NKAIN4	0
ARFGAP1	12
AVP	13
COL20A1	6
CHRNA4	7
EEF1A2	8
PTK6	14
GMEB2	4
C20orf27	0
SPEF1	0
CDC25B	29
ISM1	0
RNF24	4
ARFRP1	643
NDUFAF5	0
SEL1L2	0
TRIB3	37
RASSF2	1
CSNK2A1	18
SLC52A3	0
ANGPT4	5
RSPO4	1
CDS2	6
PROKR2	0
HM13	9
SNPH	3
MYLK2	6
SIRPB1	8
SEC23B	0
FERMT1	0
HAO1	7
PDYN	3
CCM2L	0
PLCB4	3
MYL9	10
HCK	30
TM9SF4	0
TLDC2	0
CRNKL1	8
POFUT1	1
SAMHD1	15
PAK5	1
KIF3B	0
MROH8	0
NOP56	1
MANBAL	0
IDH3B	6
MAPRE1	9
JAG1	21
CDK5RAP1	1
SNTA1	17
OXT	5
TTI1	0
E2F1	107
RPRD1B	2
PXMP4	0
CHMP4B	0
BPI	8
CST9L	0
SLC32A1	2
CST3	74
ASIP	16
CST4	13
ACTR5	0
WFDC2	19
AHCY	27
PPP1R16B	1
SPINT3	0
FAM83D	0
EPPIN	8
DHX35	1
DNTTIP1	13
MAP1LC3A	22
SYNDIG1	0
PIGU	1
TNNC2	2
ACOT8	3
APMAP	9
CELF4	2
ZNF516	0
CDH20	0
ADNP2	1
RBFA	1
USP14	13
VAPA	6
METTL4	0
LPIN2	3
SMCHD1	4
MYOM1	0
MYL12A	1
CEP76	0
ST8SIA5	0
CEP192	0
RNMT	8
SMAD7	48
LIPG	107
LAMA1	53
RNF125	7
ANKRD12	0
NOL4	8
POLI	18
MIB1	15
RBBP8	11
RIOK3	15
CSTF2	10
H2BFM	0
MXRA5	0
VSIG1	1
PSMD10	15
ATG4A	1
STS	0
TBL1X	12
GPR143	0
PGRMC1	2
POLA1	10
MID1	35
NKAP	0
RHOXF1	2
NXT2	0
GUCY2F	0
ATP1B4	0
ALG13	1
PRPS2	8
TLR8	48
MOSPD1	1
AMMECR1	0
CHRDL1	9
WDR13	1
SUV39H1	15
PAGE4	0
SRPX	0
GLRA2	0
XIAP	29
STAG2	11
ATP11C	0
MCF2	1
F9	83
ABCD1	30
CCDC22	0
CACNA1F	9
SYP	178
PLP2	147
BMX	12
LUZP4	0
PLS3	2
NAA10	1
RENBP	8
ELF4	5
SMARCA1	2
MTMR8	1
ASB9	10
ZC3H12B	0
RBBP7	12
PPP1R2C	0
KCND1	0
OPN1LW	1
SLC25A14	0
FMR1	23
PIM2	19
SCML2	12
SLC35A2	0
PQBP1	3
RS1	0
PCSK1N	2
EMD	49
TAZ	36
RAB40AL	0
PGK1	9
GATA1	22
MAGT1	35
SMS	27
PHEX	1
UBL4A	10
CD99L2	188
EEA1	31
GPR50	35
RP2	14
JADE3	0
CDK16	15
USP11	1
PCYT1B	0
BRS3	0
HTATSF1	4
VGLL1	4
CD40LG	200
TIMP1	113
KLHL4	1
GABRE	0
PCDH11X	0
FGD1	0
PIN4	11
PORCN	1
ITIH6	0
MAGED2	12
RBM3	2
KLF8	3
SRPX2	1
SYTL4	0
ZDHHC15	1
CENPI	0
DRP2	3
TAF7L	1
PBDC1	0
GLA	8
ARMCX3	8
BEX4	0
RUBCNL	0
NALCN	0
FGF14	0
HTR2A	0
NDFIP2	2
TNFSF13B	97
FNDC3A	8
MLNR	3
CDADC1	10
CAB39L	10
KLF5	4
STK24	37
ACP5	31
DNAJC3	15
UGGT2	1
ARHGEF7	68
FGF9	10
SGCG	1
PARP4	22
SUPT20H	1
MRPS31	1
SLC25A15	0
KPNA3	0
FLT1	47
RGCC	0
VWA8	0
DGKH	5
KATNAL1	5
INTS6	10
ACOD1	0
DHRS12	0
MEDAG	0
TSC22D1	24
CLN5	1
OLFM4	0
MSLN	65
MGRN1	14
ZNF629	0
TRADD	27
HSF4	30
CORO1A	14
MAPK3	127
GDPD3	0
ELMO3	0
MT4	2
PHKB	5
LYRM1	0
NUTF2	10
NUP93	8
CENPT	0
TSNAXIP1	4
NFAT5	9
LONP2	0
N4BP1	0
CBLN1	2
ARL2BP	10
PLLP	0
ZNF423	1
CCL22	30
DHODH	13
CCL17	5
CTCF	14
ACD	30
POLR2C	3
PARD6A	2
ZNF821	0
MMP15	11
USB1	0
CYB5B	0
CCDC113	1
PRSS54	1
NME3	9
NDRG4	8
PSMD7	20
SETD6	1
SLC38A7	0
VAC14	13
HAS3	3
TANGO6	0
COG4	2
SMPD3	1
SLC7A6OS	0
SLC7A6	0
PLA2G15	8
ESRP2	1
FA2H	23
WDR59	0
MON1B	0
CMC2	0
AXIN1	23
HCFC1R1	0
NPRL3	0
MLYCD	0
MPG	35
NECAB2	1
HSDL1	0
TAF1C	4
NAGPA	0
WFDC1	0
SEC14L5	0
COTL1	4
USP10	11
CRISPLD2	1
TSC2	31
ZNF500	10
NME4	11
ABCC1	97
NOMO3	0
LMF1	0
FOXF1	6
NARFL	1
MTHFSD	0
CLCN7	4
HAGHL	4
FAM173A	0
SLC7A5	5
METRN	0
FBXO31	4
STUB1	276
RHBDL1	7
NUBP1	1103
UBE2I	63
ZP2	2
MEFV	18
CRYM	15
EEF2K	9
CAPN15	2
PIEZO1	1
GSPT1	1
ZNF174	17
CLUAP1	0
UBFD1	0
PRSS33	1
EARS2	0
ELOB	20
GGA2	4
AQP8	11
CPPED1	1
USP31	9
HMOX2	20
DNAJA3	19
CORO7-PAM16	0
BFAR	15
SALL1	4
TOX3	1
RBL2	98
QPRT	21
XYLT1	0
PYCARD	11
RPGRIP1L	0
MAZ	29
STX4	12
CDIPT	48
BCKDK	3
KAT8	3
NOMO1	0
IL21R	4
SYT17	2
TMC5	0
CCP110	1
VPS35L	0
SLC6A2	15
RNF40	6
KNOP1	0
AQP9	1
AAGAB	1
IQCH	2
LACTB	1
CORO2B	0
CSK	42
HERC1	0
TRIP4	2
MTFMT	9
RASL12	2
AP3B2	0
ACSBG1	11
IGDCC4	8
RAB11A	28
CTSH	22
TTC23	1
CD276	16
FAH	3
CEMIP	0
RPAP1	0
HOMER2	9
EHD4	10
TMEM87A	0
ZNF106	0
CEP152	0
ATP8B4	3
OCA2	1
DTWD1	1
TGM5	0
FAM189A1	0
GABPB1	2
TJP1	4
BMF	11
DMXL2	1
SCG3	0
DNAJC17	0
EIF3J	0
SPG11	0
RHOV	0
VPS18	17
OIP5	6
SLC30A4	28
BLOC1S6	0
MYEF2	3
SGK3	48
PDGFRL	0
CSPP1	0
ZDHHC2	17
BRF2	0
TRIM35	10
ZFAND1	0
RP1	0
CA2	4
FZD3	12
INTS9	0
RIPK2	35
EYA1	0
NBN	135
TRPA1	9
CPQ	1
DECR1	7
CALB1	27
IMPAD1	0
SFRP1	2
LAPTM4B	3
UBE2W	6
POP1	12
NIPAL2	0
IKBKB	53
PLAT	12
JPH1	7
DKK4	4
STK3	37
GDAP1	0
RAB2A	5
EIF3E	7
EMC2	0
ESRP1	1
WISP1	5
NDRG1	20
ZC2HC1A	1
IL7	75
STMN2	42
ARMC1	13
TRPS1	0
SPAG1	0
CHRAC1	11
NCALD	1
SNX16	1
GML	7
UBR5	3
GSDMD	2
TSTA3	8
PYCR3	0
EEF1D	7
ANXA13	1
SQLE	4
SH2D4A	8
INTS10	1
ERI1	6
SLC39A14	0
MTMR9	4
LEPROTL1	0
DCTN6	0
R3HCC1	0
GSR	26
TNFRSF10A	81
UBXN8	1
PPP2CB	7
ERICH1	0
NEFM	65
TUSC3	2
ARHGEF10	0
KLHDC4	9
MCM4	4
ADAM2	7
KCTD9	10
FGL1	15
ASAH1	90
BNIP3L	12
MAN2B1	0
KCNN4	2
TULP2	8
NUCB1	18
DHDH	3
GYS1	8
MAP4K1	7
CGB2	6
ECH1	7
HNRNPL	18
NFKBIB	22
LHB	40
CGB3	0
TUBB4A	3
SARS2	1
KCNA7	0
SNRNP70	2
CLPTM1	2
RELB	18
CLASRP	1
LIN7B	8
PPP1R37	0
FCGRT	3
PIH1D1	4
CKM	46
ARHGEF18	1
PPP1R13L	10
PEX11G	0
ERCC2	17
DOT1L	21
PLEKHJ1	1
SLC17A7	6
RNASEH2A	9
KLC3	1
CD37	45
SF3A2	12
AMH	55
DKKL1	1
LYL1	1
OAZ1	0
TRMT1	1
STX10	0
RETN	39
FCER2	227
DMPK	12
CLEC4M	15
RSPH6A	0
TBC1D17	0
IL4I1	1
TLE6	4
CCDC130	1
PTOV1	1
AES	9
NOVA2	0
SGTA	15
KIR3DX1	1
LILRB1	19
MED25	0
LILRA1	3
SNAPC2	6
C19orf53	0
TIMM44	3
CCDC61	0
IL27RA	9
ASF1B	8
TNNT1	4
VRK3	0
FAM32A	0
PPP6R1	0
C19orf44	0
MED26	15
OLFM2	0
RASAL3	0
AKAP8	17
EPHX3	0
ILVBL	9
ZNF419	0
SYDE1	1
CASP14	41
SLC1A6	5
AURKC	5
POP4	1
CCNE1	41
URI1	1
PDCD5	0
ANKRD27	0
RPS16	1
TIMM50	1
LGALS13	0
FBL	26
DYRK1B	1
CLC	13
CNTD2	0
GPI	35
AKT2	84
PLD3	1
PRX	18
PIAS4	4
NUMBL	2
EBI3	20
CCDC94	0
SHD	1
TBCB	0
FSD1	1
POLR2I	7
OVOL3	0
CLIP3	0
ZFR2	0
SLC1A5	0
PRKD2	30
TJP3	2
APLP1	3
CACTIN	0
CCDC9	1
HNRNPUL1	4
FZR1	144
BBC3	23
TGFB1	68
DENND3	0
DMAC2	0
CEACAM4	0
PLIN3	3
MYH14	1
MRPL4	2
SIGLEC8	7
CD79A	461
LIM2	0
ICAM4	1
RPS19	12
NOP53	0
NKG7	0
ICAM5	75
ETFB	0
CD33	128
CEACAM5	314
CRX	21
BABAM1	3
TYK2	42
SULT2A1	10
CDC37	21
NAPA	6
RABAC1	8
ATP1A3	8
MEIS3	12
PTPRS	10
CNFN	0
ZNRF4	1
MEGF8	0
KDELR1	2
CYTH2	16
GRWD1	0
GRIN2D	2
SYNGR4	0
CLEC11A	9
CCDC114	0
CARD8	7
LIG1	23
SIGLEC6	6
ZNF175	5
PLA2G4C	0
SIGLEC5	7
CABP5	0
HAS1	456
RAB3D	3
DBP	108
TMEM205	0
CAPS	55
PLPPR2	0
FAM83E	0
RASIP1	1
THEG	0
FGF21	46
BCAT2	2
MIER2	2
PLEKHA4	1
PPP2R1A	18
TNPO2	0
WDR83OS	0
CACNG7	1
GCDH	1
LILRB5	2
KLF1	18
DNASE2	0
MAST1	6
LENG1	10
PRPF31	1
TFPT	0
JAK3	62
RPL18A	2
SLC5A5	16
KCNN1	2
ARRDC2	0
PIK3R2	6
RAB3A	9
PDE4C	5
ISYNA1	19
ELL	6
CRTC1	4
COMP	32
UPK1A	0
COPE	4
DDX49	0
ETV2	1
ATP4A	4
ARMC6	1
TMEM147	0
GAPDHS	11
MAG	24
TMEM59L	1
HAMP	17
USF2	27
LSR	0
KXD1	0
FKBP8	8
SUGP1	0
HPN	7
ZNF14	0
SCN1B	0
PBX4	9
ERF	12
GSK3A	46
ATP13A1	0
ZNF574	0
GRIK5	3
SIPA1L3	0
ZNF85	18
ETHE1	1
CADM4	4
SMG9	0
AVL9	2
RUNDC3B	0
CFAP69	0
GTPBP10	0
RASA4	1
CDK6	85
PMPCB	1
DNAJC2	1
TFPI2	33
BET1	0
NAMPT	29
TWISTNB	0
PIK3CG	26
PON3	7
PON2	4
ITGB8	7
HBP1	3
DUS4L	1
SP4	30
WDR91	0
DNAH11	0
CBLL1	7
DLX5	35
MTPN	8
STEAP1B	0
PTN	25
MPP6	14
GSDME	0
ATP6V0A4	0
ZC3HAV1	26
TTC26	0
OGDH	1
NPVF	1
ADAP1	2
TFEC	2
H2AFV	1
CAV2	10
CAV1	34
MET	30478
RNF32	4
LMBR1	5
WNT2	2
HOXA1	1
DNAJB6	11
HOXA2	0
HOXA3	1
LFNG	33
HOXA5	47
HOXA6	4
BRAT1	3
IQCE	0
ANKRD7	0
VIPR2	8
TSPAN12	0
SSBP1	8
HOXA13	2
CPED1	0
EVX1	11
HIBADH	2
TAX1BP1	16
CPVL	10
CHN2	1
GRB10	7
ABHD11	0
COBL	0
FKBP14	1
PLEKHA8	1
STX1A	25
NOD1	2
GARS	16
CRHR2	0
EPHB6	26
MINDY4	0
GHRHR	0
CASP2	57
CHCHD2	1
CCL24	22
HSPB1	158
NPTX2	3
PDAP1	23
BUD31	4
PTCD1	1
CYP3A5	8
ZKSCAN1	1
EIF3B	25
SNX8	10
NUDT1	9
PTPRZ1	1
TAF6	82
WASL	11
HYAL4	0
SPAM1	4
AIMP2	2
TFR2	10
FSCN3	0
MOSPD3	1
PAX4	5
PCOLCE	20
FBXO24	5
PPP1R17	13
RBM28	0
USP42	0
IMPDH1	9
AGFG2	1
LSM5	5
SERPINE1	187
AP1S1	1
MOGAT3	18
C1GALT1	11
PLOD3	4
RPA3	33
ZNHIT1	0
CLDN15	2
NOBOX	2
GLCCI1	0
MYL10	1
PHF14	0
NRF1	19
TMEM106B	1
EZH2	23
CEP41	1
ZNF862	0
SFRP4	2
MEST	2
MEOX2	29
ANKMY2	6
ACTR3C	0
POU6F2	8
TSPAN13	0
RARRES2	4
AGR2	30
AHR	67
CHCHD3	5
GIMAP2	1
TMEM176B	0
GLI3	9
PSMA2	15
MRPL32	2
COA1	0
BLVRA	12
URGCP	1
TMEM248	0
RHEB	16
PRKAG2	6
AEBP1	10
POLD2	5
MYL7	8
GCK	18
BCL7B	7
YKT6	2
TBL2	1
GALNTL5	0
CLIP2	8
EIF4H	4
LIMK1	41
SPATA6L	0
SLC1A1	4
LHX2	20
FKTN	0
FSD1L	0
CNTNAP3	0
SPIN1	1
NMRK1	1
TMEM245	0
PRUNE2	0
MEGF9	0
TRIM14	0
CORO2A	0
TGFBR1	3
SEC61B	0
C5	222
OGN	4
ASPN	0
ECM2	0
TLE4	4
LHX6	21
PTGR1	3
SUSD1	0
AMBP	27
AKNA	0
TNFSF8	13
DNM1	23
ENG	320
AK1	32
CDC37L1	3
RLN2	13
RLN1	22
PLGRKT	0
TBC1D13	2
RIC1	0
KDM4C	5
DOCK8	9
KANK1	7
ELAVL2	4
NCS1	5
TESK1	6
KCNT1	0
CA9	37
FUBP3	3
TYRP1	37
CREB3	14
RGP1	0
MPDZ	0
LHX3	5
DDX58	4
EDF1	2
PIP5K1B	4
GLIS3	0
BAG1	56
RAPGEF1	16
NPDC1	5
APBA1	5
SETX	8
SH3GL2	15
PTGDS	2
ABCA2	2
SHB	1
UBE2R2	9
ABHD17B	0
EXOSC3	17
ZFAND5	8
DVL1	3
PDLIM1	6
CCNJ	5
DNTT	61
GATA3	24
ATRNL1	0
HPS1	51
PHYH	31
RASSF4	11
DNMBP	14
RAB11FIP2	3
CXCL12	28
ERLIN1	0
EIF3A	786
PKD2L1	3
CUBN	0
TRDMT1	15
DDX50	6
MAPK8	69
SEC23IP	1
ATE1	6
NSMCE4A	0
PLEKHA1	3
PALD1	0
UNC5B	7
CDH23	3
VSIR	2
SPOCK2	1
MICU1	1
PPP3CB	7
CCSER2	1
BMPR1A	14
MINPP1	1
ACTA2	39
LIPA	90
TLX1	1
TWNK	0
LZTS2	1
SFXN3	4
KAZALD1	1
FBXW4	0
FGF8	25
NPM3	1
TNKS2	0
PITX3	46
GBF1	2
ARHGAP21	0
CPEB3	0
FBXL15	0
CUEDC2	1
SUFU	15
ANKRD26	0
ACBD5	0
LHPP	0
LARP4B	1
GTPBP4	2
EDRF1	0
BCCIP	4
MTPAP	20
NEURL1	0
SH3PXD2A	453
PITRM1	7
STN1	8
MAP3K8	8
DKK1	64
EBF3	28
GLRX3	9
SORCS1	0
FAM208B	0
XPNPEP1	6
SMC3	59
SHOC2	1
TFAM	6
CCDC6	10
CUL2	7
CCNY	8
UBE2S	14
RPL28	0
ZMIZ1	0
DNAJC12	1
PPIF	7
PBLD	7
TSPAN14	0
LGI1	2
TBC1D12	0
CYP2C18	0
KRT23	12
CRYBA1	3
NUFIP2	1
GIT1	6
RPL19	8
FBXL20	1
RUNDC3A	4
UBTF	27
CSF3	130
PSMD3	2
CASC3	0
RAPGEFL1	11
RGS9	0
RNF43	0
WNT3	17
ASPA	15
RAD51C	16
SEPT4	15
MTMR4	1
TRIM37	7
P2RX1	0
DHX40	1
KRT37	0
TUBD1	7
KPNB1	10
GOSR2	10
PNPO	6
RPS6KB1	47
TRIM16L	0
CDK5RAP3	11
CBX1	1066
RECQL5	1
PIGL	6
GALK1	1
INTS2	0
CAMTA2	0
MED13	0
HOXB6	0
ENO3	12
PFN1	13
RNF167	0
SLC25A11	8
RASD1	3
CHRNE	5
RAI1	0
NUP88	2
C1QBP	32
SLC6A4	48
BLMH	16
CPD	2
GOSR1	13
CCDC47	0
MED31	9
DRG2	1
FTSJ3	0
AKAP10	10
ALDH3A1	8
SMARCD2	15
ICAM2	64
SYNGR2	5
B9D1	2
UTP6	0
DDX5	10
C17orf75	8
CYTH1	18
PSMD11	5
LGALS3BP	12
ASIC2	1
CCL7	67
CCL2	124
CCL8	19
CCL1	9
PEX12	4
KRT32	0
DHX58	0
KAT2A	28
RAB5C	1
NAGLU	6
HSD17B1	18
MLX	2
CNTNAP1	8
ABI3	0
EZH1	1
DLX4	13
PPP1R9B	0
COL1A1	12
SGCA	3
PTGES3L-AARSD1	0
MRPL27	2
VAT1	3
